Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пелех,Варфоломій,Захарович,Чоловік,1971.04.05,Ріелтор,місто Тисмениця,"вулиця Олексіївська, буд. 7 кв. 3, Сколе, 33521",+380 73 061-75-20,baranboleslav@example.net
Сомко,Опанас,Ісааківна,Чоловік,1962.10.12,Пілот,хутір Вільнянськ,"проспект 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 0, Хотин, 87448",+380 03 093-13-07,akabanenko@example.org
Рябець,Орест,Несторович,Чоловік,1996.05.10,Піаніст,селище Івано-Франківськ,"вулиця Аграрна, буд. 665 кв. 24, Енергодар, 34635",+380 14 694 88 27,orlykvenedykt@example.com
Бабиченко,Арсен,Семіонівна,Чоловік,1967.05.25,Різноробочий,село Глиняни,"проспект Палія Семена, буд. 169 кв. 9, Здолбунів, 23092",068-68-15,xandriienko@example.org
Єрошенко,Назар,Захарівна,Чоловік,1955.01.25,Золотар,місто Жмеринка,"вулиця 1-ша Суворовська, буд. 84 кв. 566, Сарни, 32697",+380 94 788-32-18,uandriichuk@example.com
Заєць,Аарон,Антігонівна,Чоловік,1991.02.21,Фармацевт,селище Погребище,"вулиця Шота Руставелі, буд. 4, Хмільник, 20161",+380 (15) 807-27-09,fedirzhuk@example.net
Устенко,Мілена,Кирилівна,Жінка,2001.07.06,Мовознавець,місто Одеса,"парк Мазепи Івана, буд. 03, Кипуче, 87146",+380 81 714-50-42,iaroslava58@example.com
Демиденко,Святослава,Трифонівна,Жінка,1980.04.27,Сантехнік,село Городище ,"проспект Магістральна, буд. 388, Куп'янськ, 69036",+380 04 049-38-59,tetiana33@example.org
Ярема,Наталія,Мартінівна,Жінка,1951.05.16,Різноробочий,селище Радомишль,"сквер Куликовський 2-й, буд. 18, Бережани, 88038",+380 (76) 933-59-22,rchalenko@example.net
Гавришкевич,Любов,Мстиславівна,Жінка,1977.06.04,Кухар,хутір Маріуполь,"шосе Конструкторський, буд. 38 кв. 3, Ужгород, 70485",941 25 20,nizhak@example.org
Демʼяненко,Гаврило,Володиславівна,Чоловік,1951.06.22,Перекладач,хутір Берислав,"сквер Гаванна, буд. 8 кв. 399, Шумськ, 67684",094 473 17 01,demian81@example.com
Демʼянюк,Богдан,Мартінівна,Чоловік,2005.09.14,Вчитель,місто Нова Одеса,"парк Наявний 5-й, буд. 69, Бобровиця, 30146",+380 (99) 643-90-88,hryhorii23@example.org
Ґерета,Дан,Антінович,Чоловік,1989.09.09,Епідеміолог,село Полонне,"набережна Італійський, буд. 199, Тальне, 22009",040 275 26 19,vanchenkoalina@example.com
Романчук,Йосип,Гаврилівна,Чоловік,1953.02.25,Футболіст,селище Алупка,"площа Аеропортівська, буд. 021, Семенівка, 13193",+380 (75) 961-13-79,kozakustym@example.net
Піддубний,Богдан,Назаріївна,Чоловік,1987.02.05,Паралегал,селище Роздільна,"вулиця Іванова 1-й, буд. 070 кв. 55, Олександрівськ, 12473",182-84-95,oryna69@example.net
Абрамчук,Костянтин,Марківна,Чоловік,1981.04.16,Маркетолог,хутір Золоте,"набережна Партизанської Слави, буд. 00, Пологи , 37904",+380 67 835 17 33,uredko@example.org
Сірченко,Ліза,Олесьович,Жінка,1968.05.16,Паралегал,хутір Арциз,"сквер Глиняна, буд. 58, Тетіїв, 77189",442 52 36,sachenkovioletta@example.net
Михайлюк,Орися,Сергійович,Жінка,1984.02.17,Архітектор,село Старокостянтинів,"проспект Бокаріуса Миколи, буд. 410 кв. 4, Ромни, 47593",079 246-19-89,triaboshapka@example.org
Вишняк,Тетяна,Костянтинівна,Жінка,1962.05.26,Журналіст,село Зборів,"проспект Студентський 4-й, буд. 51, Перевальськ, 03556",+380 90 010-51-34,apavlychenko@example.com
Штокало,Надія,Альбертівна,Жінка,2002.04.11,Стиліст,місто Алчевськ,"площа Композитора Глинки, буд. 6, Конотоп, 29225",199 34 22,liudmyla93@example.net
Вакарчук,Онисим,Юхиміанівна,Чоловік,2006.09.03,Нотаріус,хутір Сміла,"площа Шоста, буд. 278 кв. 435, Переяслав, 36405",+380 (16) 408-63-57,dashkevychstanislav@example.org
Засядько,Антон,Олесьович,Чоловік,1975.05.05,Менеджер,місто Берегове,"вулиця Першотравневий 2-й, буд. 848, Сєвєродонецьк, 05078",035 404 36 50,mykhaliukoleksa@example.org
Чуприна,Ігнат,Всеславівна,Чоловік,1952.04.16,Швачка,селище Новодністровськ,"проспект Лазурний 5-й, буд. 17 кв. 4, Сімферополь, 36383",+380 (28) 219-23-74,chuikovira@example.net
Павленко,Лесь,Соломонівна,Чоловік,1993.06.26,Соціолог,місто Люботин,"вулиця Одеська, буд. 5, Львів, 82894",+380 15 205 03 58,iukhymmamchur@example.net
Єфименко,Арсен,Юхиміанівна,Чоловік,1998.06.25,Державний службовець,хутір Теребовля,"провулок Леха Качинського, буд. 2, Бучач, 41415",+380 09 663-63-83,leopoldkolesnychenko@example.com
Сиротенко,Орхип,Климентівна,Чоловік,1953.10.13,Мінералог,село Керч,"вулиця Ковалевського узвіз, буд. 4 кв. 016, Петрово-Красносілля, 69821",+380 (38) 413-37-51,ikharchenko@example.net
Москаль,Єва,Даніїлівна,Жінка,1993.05.01,Шериф,село Сорокине,"узвіз Центральна, буд. 555, Часів Яр, 40214",+380 71 951-98-02,iosyp72@example.net
Гузенко,Юстина,Левівна,Жінка,1982.10.09,Доцент,місто Жовті Води,"шосе Достоєвського, буд. 8, Херсон, 43795",054 886 26 61,eandriiovych@example.com
Байда,Ярина,Олексійович,Жінка,1965.05.27,Художник,селище Дубровиця,"вулиця Сухолиманна, буд. 830 кв. 111, Лисичанськ, 04481",857-39-29,liashkoorest@example.net
Гавришкевич,Єлисавета,Ізмаїлівна,Жінка,1969.04.02,Євнух,село Інкерман,"вулиця Водопровідний 1-й, буд. 3, Жовті Води, 21404",+380 48 895-68-25,ishovkoplias@example.org
Бакуменко,Пилип,Андронікович,Чоловік,1974.01.31,Шериф,хутір Хуст,"парк Новоселів, буд. 1 кв. 157, Краматорськ, 11549",037 545-61-91,vnestaiko@example.net
Івасюк,Пантелеймон,Валентинівна,Чоловік,1969.11.08,Реабілітолог,селище Очаків,"шосе Людмили Гінзбург, буд. 63, Скадовськ, 84290",361-88-12,stepan55@example.org
Фурс,Болеслав,Горгоніївна,Чоловік,1973.06.26,Зоолог,селище Українка ,"сквер Улітіна, буд. 00, Новомосковськ, 69609",034 919-85-62,bohodar36@example.net
Гавриш,Петро,Болеславівна,Чоловік,1987.03.02,Візажист,місто Ладижин,"площа Виноградний тупик, буд. 789 кв. 395, Луганськ, 33262",036 697 40 23,valentyn32@example.com
Луценко,Борислав,Давидович,Чоловік,1994.12.27,Електротехнік,місто Турка,"парк Байдарочний, буд. 6, Сміла, 42357",027 369 97 01,zshukhevych@example.org
Ткаченко,Єфрем,Несторович,Чоловік,1956.09.04,Геолог,хутір Мала Виска,"шосе Хлібна гавань, буд. 736, Слов'янськ, 86543",+380 (19) 311-15-29,umanetspanas@example.org
Остапчук,Михайлина,Олексіївна,Жінка,1951.03.20,Адвокат,місто Арциз,"узвіз Чернігівська, буд. 6, Первомайськ, 41371",+380 (51) 971-72-70,utkach@example.org
Гоголь-Яновський,Емілія,Маркелівна,Жінка,1977.10.21,Мистецтвознавець,хутір Конотоп,"вулиця Казковий, буд. 4 кв. 5, Щолкіне, 60920",189-72-82,yilchenko@example.org
Дубас,Амалія,Спартаківна,Жінка,1997.05.16,Єгер,село Зимогір'я,"узвіз Хаджибейський 2-й, буд. 9 кв. 97, Судак , 01569",+380 50 468-89-32,yvdovenko@example.net
Єрьоменко,Ірина,Агапіївна,Жінка,1954.04.05,Живописець,село Вашківці,"площа Льва Симиренка, буд. 129 кв. 14, Гребінка, 70065",080 967-18-40,demydviter@example.org
Аврамчук,Богуслав,Назаріївна,Чоловік,1985.07.14,Музикант,місто Нова Одеса,"проспект Юрія Яновського, буд. 7 кв. 4, Новий Калинів, 50572",186 78 12,shutkorostyslav@example.org
